year,month,district,zone,value
2005,9,ARGANZUELA,PALOS DE MOGUER,29587
2005,9,ARGANZUELA,ACACIAS,38036
2005,9,ARGANZUELA,ATOCHA,1119
2005,9,ARGANZUELA,DELICIAS,25929
2005,10,ARGANZUELA,DELICIAS,26041
2005,10,ARGANZUELA,IMPERIAL,23163
2005,10,ARGANZUELA,CHOPERA,22747
2005,10,ARGANZUELA,LEGAZPI,10175
2005,10,ARGANZUELA,PALOS DE MOGUER,29648
2005,10,ARGANZUELA,ATOCHA,1123
2005,10,ARGANZUELA,ACACIAS,38202
2005,11,ARGANZUELA,PALOS DE MOGUER,29645
2005,11,ARGANZUELA,LEGAZPI,10237
2005,11,ARGANZUELA,ATOCHA,1119
2005,11,ARGANZUELA,IMPERIAL,23178
2005,11,ARGANZUELA,DELICIAS,25991
2005,11,ARGANZUELA,CHOPERA,22699
2005,11,ARGANZUELA,ACACIAS,38158
2005,12,ARGANZUELA,IMPERIAL,23149
2005,12,ARGANZUELA,DELICIAS,25929
2005,12,ARGANZUELA,ATOCHA,1118
2005,12,ARGANZUELA,LEGAZPI,10343
2005,12,ARGANZUELA,ACACIAS,38075
2005,12,ARGANZUELA,CHOPERA,22602
2005,12,ARGANZUELA,PALOS DE MOGUER,29564
2006,1,ARGANZUELA,PALOS DE MOGUER,29569
2006,1,ARGANZUELA,ACACIAS,38163
2006,1,ARGANZUELA,CHOPERA,22671
2006,1,ARGANZUELA,IMPERIAL,23236
2006,1,ARGANZUELA,LEGAZPI,10480
2006,1,ARGANZUELA,ATOCHA,1130
2006,1,ARGANZUELA,DELICIAS,26048
2006,2,ARGANZUELA,ACACIAS,38515
2006,2,ARGANZUELA,PALOS DE MOGUER,29615
2006,2,ARGANZUELA,LEGAZPI,10743
2006,2,ARGANZUELA,DELICIAS,26385
2006,2,ARGANZUELA,IMPERIAL,23545
2006,2,ARGANZUELA,CHOPERA,22873
2006,2,ARGANZUELA,ATOCHA,1163
2006,3,ARGANZUELA,CHOPERA,22569
2006,3,ARGANZUELA,IMPERIAL,23451
2006,3,ARGANZUELA,DELICIAS,26011
2006,3,ARGANZUELA,PALOS DE MOGUER,29041
2006,3,ARGANZUELA,ATOCHA,1151
2006,3,ARGANZUELA,ACACIAS,38222
2006,3,ARGANZUELA,LEGAZPI,10894
2006,4,ARGANZUELA,PALOS DE MOGUER,29019
2006,4,ARGANZUELA,IMPERIAL,23482
2006,4,ARGANZUELA,ATOCHA,1159
2006,4,ARGANZUELA,CHOPERA,22533
2006,4,ARGANZUELA,DELICIAS,26095
2006,4,ARGANZUELA,LEGAZPI,11005
2006,4,ARGANZUELA,ACACIAS,38296
2006,5,ARGANZUELA,CHOPERA,22397
2006,5,ARGANZUELA,IMPERIAL,23386
2006,5,ARGANZUELA,ACACIAS,38152
2006,5,ARGANZUELA,DELICIAS,25966
2006,5,ARGANZUELA,PALOS DE MOGUER,28734
2006,5,ARGANZUELA,ATOCHA,1150
2006,5,ARGANZUELA,LEGAZPI,11079
2006,7,ARGANZUELA,LEGAZPI,11276
2006,7,ARGANZUELA,PALOS DE MOGUER,28430
2006,7,ARGANZUELA,DELICIAS,25893
2006,7,ARGANZUELA,IMPERIAL,23326
2006,7,ARGANZUELA,CHOPERA,22232
2006,7,ARGANZUELA,ATOCHA,1149
2006,7,ARGANZUELA,ACACIAS,38021
2006,8,ARGANZUELA,ACACIAS,38160
2006,8,ARGANZUELA,LEGAZPI,11439
2006,8,ARGANZUELA,CHOPERA,22384
2006,8,ARGANZUELA,IMPERIAL,23399
2006,8,ARGANZUELA,DELICIAS,26067
2006,8,ARGANZUELA,ATOCHA,1149
2006,8,ARGANZUELA,PALOS DE MOGUER,28520
2006,9,ARGANZUELA,CHOPERA,22451
2006,9,ARGANZUELA,IMPERIAL,23450
2006,9,ARGANZUELA,PALOS DE MOGUER,28647
2006,9,ARGANZUELA,ATOCHA,1144
2006,9,ARGANZUELA,ACACIAS,38306
2006,9,ARGANZUELA,LEGAZPI,11559
2006,9,ARGANZUELA,DELICIAS,26228
2006,10,ARGANZUELA,IMPERIAL,23406
2006,10,ARGANZUELA,ACACIAS,38290
2006,10,ARGANZUELA,LEGAZPI,11639
